Ch1(mV[1]),Ch2(mV[0.051]),Ch3(mV[0.06]),Ch4(mV[1]),Ch5(mV[1]),Ch6(mV[1]),Ch7(mV[1]),Ch8(mV[1]),Ch9(mV[1]),Ch10(mV[1]),Ch11(mV[1]),Ch12(mV[1]),Ch13(mV[1]),Ch14(mV[1]),Ch15(mV[1]),Ch16(mV[1]),Ch17(uE[0.4762]),Ch18(uE[0.4762]),Ch19(uE[0.4762]),Ch20(uE[0.4762]),08:55:39 ,28/03/2019 
9994.5,-0.017,0.041,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,42.858, 1.42974175347224E-02 ,
9994.1,-0.017,0.035,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.014,2.686,0.000,86.192, 1.46473524305559E-02 ,
9994.5,-0.017,0.032,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.010,-42.858,0.000, 1.49972873263895E-02 ,
9994.1,-0.017,0.044,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.667,1.338,-42.858,0.000, 1.53499348958341E-02 ,
9994.5,-0.017,0.320,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,16.767,17.438,-42.858,0.000, 1.57004123263889E-02 ,
9994.5,-0.017,0.359,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,15.424,16.091,-42.858,0.000, 1.60503472222224E-02 ,
9994.5,-0.017,0.332,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,16.091,15.424,-42.858,0.000, 1.64029947916671E-02 ,
9994.5,-0.017,0.341,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,16.767,17.438,0.000,42.858, 1.67388237847224E-02 ,
9994.5,-0.017,0.340,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,34.872,36.210,-42.858,42.858, 1.70893012152789E-02 ,
9994.5,-0.017,1.420,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,54.320,55.658,-42.858,0.000, 1.74392361111124E-02 ,
9994.5,-0.017,1.650,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,80.473,82.483,-42.858,0.000, 1.77918836805553E-02 ,
9994.5,0.066,1.978,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,93.221,94.559,0.000,42.858, 1.81418185763889E-02 ,
9994.1,0.066,2.410,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,110.655,113.331,-42.858,0.000, 1.84917534722224E-02 ,
9994.5,0.066,2.609,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,127.417,129.431,0.000,0.000, 0.018841688368056 ,
