Element,Node,Fx[N],My[N.m],Mz[N.m]
153,186,801.354,-6.07E+04,-0.0586943
154,186,1.04E+03,-5.05E+04,-0.05873
154,187,1.04E+03,-4.78E+04,-0.0207101
155,187,1.39E+03,-3.06E+04,-0.0207267
155,188,1.39E+03,-2.67E+04,-0.390223
156,188,1.89E+03,1.10E+03,-0.390481
156,178,1.89E+03,7.58E+03,0.413878
173,10,117.217,1.85E+04,0.806574
173,203,117.217,1.46E+04,-0.24372
174,203,231.901,-8.03E+03,-0.242594
174,204,231.901,-1.09E+04,-0.29606
175,204,226.395,-1.26E+04,-0.296044
175,205,226.395,-1.03E+04,-0.235779
176,205,106.041,9.81E+03,-0.236819
176,202,106.041,1.35E+04,0.737785
177,210,1.78E+03,7.31E+03,8.53E-03
177,211,1.78E+03,1.29E+03,-7.83E-03
178,211,1.31E+03,-2.43E+04,-7.83E-03
178,212,1.31E+03,-2.78E+04,-1.07E-03
179,212,980.417,-4.35E+04,-1.07E-03
179,213,980.417,-4.60E+04,-1.84E-03
180,213,758.541,-5.51E+04,-1.84E-03
180,202,758.541,-5.62E+04,-3.88E-03
181,210,369.22,1.57E+04,-6.1115
181,218,369.22,8.37E+03,3.77174
182,218,-59.7356,-1.07E+04,3.76934
182,219,-59.7356,-1.43E+04,-1.44178
183,219,-69.8323,-1.30E+04,-1.44186
183,220,-69.8323,-8.49E+03,3.96248
184,220,348.211,1.34E+04,3.96494
184,18,348.211,2.17E+04,-6.28537
201,50,79.4163,3.39E+04,0.131913
201,235,79.4163,2.40E+04,-0.0320135
202,235,167.94,-1.88E+04,-0.0318145
202,236,167.94,-2.27E+04,-0.0623121
203,236,177.699,-2.44E+04,-0.0623072
203,237,177.699,-2.11E+04,-0.0293565
204,237,158.981,1.76E+04,-0.0295273
204,234,158.981,2.66E+04,0.109031
205,202,615.611,-5.18E+04,-2.68E-03
205,242,615.611,-4.89E+04,-5.15E-03
206,242,527.847,-3.06E+04,-5.15E-03
206,243,527.847,-2.62E+04,1.32E-03
207,243,470.343,-477.946,1.32E-03
207,244,470.343,5.17E+03,-0.0495562
208,244,432.15,4.18E+04,-0.0495864
208,234,432.15,5.02E+04,0.107156
225,82,176.274,2.16E+04,-9.89E-03
225,259,176.274,1.73E+04,2.08E-04
226,259,178.315,-8.36E+03,1.96E-04
226,260,178.315,-1.16E+04,2.24E-04
227,260,174.423,-1.42E+04,2.20E-04
227,261,174.423,-1.17E+04,2.84E-03
228,261,164.836,9.80E+03,2.84E-03
228,258,164.836,1.36E+04,-5.77E-03
229,234,409.298,5.11E+04,0.100098
229,266,409.298,4.37E+04,-0.0490008
230,266,395.94,1.22E+04,-0.0489728
230,267,395.94,7.41E+03,-4.16E-04
231,267,387.446,-1.36E+04,-4.20E-04
231,268,387.446,-1.72E+04,-8.87E-03
232,268,383.141,-3.12E+04,-8.87E-03
232,258,383.141,-3.32E+04,-1.29E-03
249,114,87.5,3.44E+04,-0.209723
249,283,87.5,2.44E+04,0.0716642
250,283,171.999,-1.89E+04,0.0714016
250,284,171.999,-2.28E+04,0.0495229
251,284,182.797,-2.48E+04,0.049532
251,285,182.797,-2.15E+04,0.0374085
252,285,170.435,1.67E+04,0.0375691
252,282,170.435,2.56E+04,-0.107727
253,258,382.329,-3.33E+04,-0.0178962
253,290,382.329,-3.13E+04,-7.28E-03
254,290,385.038,-1.74E+04,-7.30E-03
254,291,385.038,-1.38E+04,3.58E-03
255,291,392.163,7.00E+03,3.58E-03
255,292,392.163,1.17E+04,-0.115395
256,292,403.33,4.30E+04,-0.115475
256,282,403.33,5.03E+04,0.276095
273,146,122.163,1.88E+04,-0.81389
273,307,122.163,1.48E+04,0.238286
274,307,235.009,-8.20E+03,0.237152
274,308,235.009,-1.11E+04,0.291702
275,308,229.344,-1.34E+04,0.291673
275,309,229.344,-1.11E+04,0.228737
276,309,111.438,8.61E+03,0.22973
276,306,111.438,1.22E+04,-0.700324
277,282,422.111,4.95E+04,0.242922
277,314,422.111,4.12E+04,-0.109578
278,314,457.742,5.20E+03,-0.109507
278,315,457.742,-338.558,9.45E-03
279,315,512.689,-2.55E+04,9.45E-03
279,316,512.689,-2.98E+04,-5.96E-03
280,316,597.704,-4.78E+04,-5.95E-03
280,306,597.704,-5.06E+04,-0.0155934
297,178,367.511,2.23E+04,-6.27524
297,331,367.511,1.37E+04,3.92526
298,331,-55.0999,-8.64E+03,3.92281
298,332,-55.0999,-1.34E+04,-1.41903
299,332,-47.6217,-1.52E+04,-1.41894
299,333,-47.6217,-1.18E+04,3.69298
300,333,376.57,6.63E+03,3.69533
300,330,376.57,1.38E+04,-6.0216
301,306,737.261,-5.49E+04,9.94E-03
301,338,737.261,-5.39E+04,-0.0206973
302,338,954.355,-4.50E+04,-0.0207074
302,339,954.355,-4.26E+04,-6.05E-03
303,339,1.27E+03,-2.72E+04,-6.06E-03
303,340,1.27E+03,-2.38E+04,-0.144858
304,340,1.74E+03,1.22E+03,-0.144953
304,330,1.74E+03,7.11E+03,0.124738
321,202,105.514,1.35E+04,0.736577
321,355,105.514,9.87E+03,-0.233905
322,355,224.952,-1.02E+04,-0.232867
322,356,224.952,-1.25E+04,-0.293914
323,356,230.469,-1.07E+04,-0.293929
