Element,Node,Fx[N],My[N.m],Mz[N.m]
707,766,6.17E+01,-5.31E+03,-0.0330436
708,766,5.75E+01,-8.30E+03,-0.0330409
708,731,5.75E+01,-9.16E+03,-3.54E-03
709,763,2.10E+01,-2.28E+03,-0.11359
709,772,2.10E+01,-5.76E+03,0.0895819
710,772,7.74E+00,-1.76E+04,0.0894933
710,773,7.74E+00,-1.80E+04,-0.0445459
711,773,4.81E+00,-1.42E+04,-0.0445764
711,774,4.81E+00,-1.25E+04,0.139654
712,774,-6.66E+00,7.02E+03,0.139836
712,771,-6.66E+00,1.15E+04,-0.228364
713,739,6.94E+01,-1.72E+04,8.24E-03
713,779,6.94E+01,-1.63E+04,0.0124118
714,779,7.46E+01,-9.84E+03,0.0124144
714,780,7.46E+01,-8.24E+03,-5.83E-03
715,780,8.56E+01,1.36E+03,-5.84E-03
715,781,8.56E+01,3.53E+03,0.126395
716,781,1.05E+02,1.77E+04,0.126467
716,771,1.05E+02,2.09E+04,-0.279542
733,763,1.81E+00,8.59E+03,-0.463669
733,796,1.81E+00,6.30E+03,0.254506
734,796,8.69E+00,459.982,0.254448
734,797,8.69E+00,-1.42E+03,-6.58E-04
735,797,1.62E+01,-5.97E+03,-6.42E-04
735,798,1.62E+01,-7.44E+03,0.0357293
736,798,2.48E+01,-1.06E+04,0.0357448
736,795,2.48E+01,-1.16E+04,-0.0383426
737,795,-1.30E+00,-5.15E+03,-0.0655429
737,804,-1.30E+00,-6.78E+03,0.0256176
738,804,2.88E+00,-1.32E+04,0.0255318
738,805,2.88E+00,-1.36E+04,0.0219679
739,805,5.07E+00,-9.86E+03,0.0219767
739,806,5.07E+00,-8.34E+03,0.0209135
740,806,5.08E+00,3.32E+03,0.0210067
740,803,5.08E+00,5.28E+03,-0.0660157
741,771,-3.38E+01,1.90E+04,-0.284435
741,811,-3.38E+01,1.56E+04,0.127794
742,811,-1.25E+01,543.504,0.127716
742,812,-1.25E+01,-1.82E+03,-6.23E-03
743,812,2.73E+00,-1.24E+04,-6.22E-03
743,813,2.73E+00,-1.42E+04,0.0111004
744,813,1.49E+01,-2.16E+04,0.0110917
744,803,1.49E+01,-2.28E+04,0.0150865
761,827,7.93E+01,5.26E+03,0.198125
761,828,7.93E+01,3.30E+03,-0.0166611
762,828,6.11E+01,-2.21E+03,-0.0166326
762,829,6.11E+01,-3.66E+03,0.0319077
763,829,4.66E+01,-7.67E+03,0.0319088
763,830,4.66E+01,-8.72E+03,8.94E-03
764,830,3.47E+01,-1.13E+04,8.95E-03
764,795,3.47E+01,-1.19E+04,-0.0272163
765,827,6.77E+00,-401.798,-0.199156
765,836,6.77E+00,-3.44E+03,0.156227
766,836,-1.27E+01,-1.09E+04,0.156136
766,837,-1.27E+01,-1.16E+04,-0.0514283
767,837,-1.17E+01,-9.50E+03,-0.0514318
767,838,-1.17E+01,-7.18E+03,0.166794
768,838,6.89E+00,3.30E+03,0.166898
768,835,6.89E+00,7.10E+03,-0.254875
769,803,2.67E+01,-2.40E+04,2.18E-03
769,843,2.67E+01,-2.34E+04,0.0104334
770,843,4.02E+01,-1.85E+04,0.0104309
770,844,4.02E+01,-1.73E+04,4.27E-03
771,844,5.74E+01,-9.51E+03,4.26E-03
771,845,5.74E+01,-7.74E+03,0.0599104
772,845,8.05E+01,4.76E+03,0.0599443
772,835,8.05E+01,7.64E+03,-0.062188
789,667,6.49E+00,6.62E+03,0.0531152
789,860,6.49E+00,5.08E+03,-0.0179058
790,860,9.62E+00,-3.79E+03,-0.017831
790,861,9.62E+00,-4.88E+03,-0.022868
791,861,1.04E+01,-5.18E+03,-0.0228704
791,862,1.04E+01,-4.18E+03,-0.0195992
792,862,8.23E+00,4.36E+03,-0.0196894
792,859,8.23E+00,5.89E+03,0.0651044
793,867,9.39E+01,7.24E+03,1.21E-16
793,868,9.39E+01,4.48E+03,-1.48E-14
794,868,6.74E+01,-7.32E+03,-1.50E-14
794,869,6.74E+01,-8.94E+03,-1.92E-15
795,869,4.78E+01,-1.62E+04,-1.65E-15
795,870,4.78E+01,-1.74E+04,-2.97E-15
796,870,3.28E+01,-2.19E+04,-2.97E-15
796,859,3.28E+01,-2.25E+04,1.97E-14
797,675,2.48E+01,7.66E+03,0.316726
797,875,2.48E+01,4.63E+03,-0.179111
798,875,-1.40E+00,-3.76E+03,-0.178982
798,876,-1.40E+00,-5.53E+03,0.0641987
799,876,-2.30E+00,-5.75E+03,0.0642072
799,877,-2.30E+00,-4.15E+03,-0.199442
800,877,2.28E+01,3.73E+03,-0.199577
800,867,2.28E+01,6.54E+03,0.333647
817,707,1.98E+01,1.22E+04,0.223477
817,892,1.98E+01,8.42E+03,-0.142197
818,892,1.28E+01,-7.98E+03,-0.142029
818,893,1.28E+01,-9.42E+03,0.0574469
819,893,1.15E+01,-9.63E+03,0.057443
819,894,1.15E+01,-8.26E+03,-0.138344
820,894,8.93E+00,7.50E+03,-0.138512
820,891,8.93E+00,1.12E+04,0.221284
821,859,2.02E+01,-2.14E+04,-5.26E-15
821,899,2.02E+01,-2.03E+04,2.30E-14
822,899,7.68E+00,-1.35E+04,2.30E-14
822,900,7.68E+00,-1.18E+04,-1.65E-14
823,900,-7.61E+00,-2.06E+03,-1.67E-14
823,901,-7.61E+00,104.569,2.81E-13
824,901,-2.87E+01,1.42E+04,2.81E-13
824,891,-2.87E+01,1.74E+04,-6.20E-13
841,739,3.93E+00,7.41E+03,7.26E-14
841,916,3.93E+00,5.75E+03,-2.00E-15
842,916,1.37E+01,-3.97E+03,-1.89E-15
842,917,1.37E+01,-5.17E+03,-1.40E-14
843,917,1.44E+01,-5.57E+03,-1.40E-14
843,918,1.44E+01,-4.49E+03,-8.28E-15
844,918,6.03E+00,4.67E+03,-8.29E-15
844,915,6.03E+00,6.28E+03,8.34E-15
845,891,1.05E+02,1.92E+04,-6.64E-13
845,923,1.05E+02,1.62E+04,2.97E-13
846,923,8.60E+01,3.13E+03,2.96E-13
846,924,8.60E+01,1.18E+03,-1.24E-14
847,924,7.52E+01,-7.50E+03,-1.24E-14
847,925,7.52E+01,-8.96E+03,2.86E-14
848,925,7.00E+01,-1.48E+04,2.86E-14
848,915,7.00E+01,-1.56E+04,4.98E-14
865,771,1.98E+01,1.22E+04,-0.223477
865,940,1.98E+01,8.42E+03,0.142197
866,940,1.28E+01,-7.98E+03,0.142029
866,941,1.28E+01,-9.42E+03,-0.0574469
867,941,1.15E+01,-9.63E+03,-0.057443
867,942,1.15E+01,-8.26E+03,0.138344
868,942,8.93E+00,7.50E+03,0.138512
868,939,8.93E+00,1.12E+04,-0.221284
869,915,7.00E+01,-1.56E+04,1.64E-14
869,947,7.00E+01,-1.48E+04,4.77E-14
870,947,7.52E+01,-8.96E+03,4.77E-14
870,948,7.52E+01,-7.50E+03,-2.03E-14
871,948,8.60E+01,1.18E+03,-2.03E-14
871,949,8.60E+01,3.13E+03,5.02E-13
872,949,1.05E+02,1.62E+04,5.02E-13
872,939,1.05E+02,1.92E+04,-1.12E-12
889,803,6.49E+00,6.62E+03,-0.0531152
889,964,6.49E+00,5.08E+03,0.0179058
890,964,9.62E+00,-3.79E+03,0.017831
890,965,9.62E+00,-4.88E+03,0.022868
891,965,1.04E+01,-5.18E+03,0.0228704
891,966,1.04E+01,-4.18E+03,0.0195992
892,966,8.23E+00,4.36E+03,0.0196894
892,963,8.23E+00,5.89E+03,-0.0651044
893,939,-2.87E+01,1.74E+04,-1.07E-12
893,971,-2.87E+01,1.42E+04,4.93E-13
894,971,-7.61E+00,104.569,4.93E-13
894,972,-7.61E+00,-2.06E+03,-2.03E-14
895,972,7.68E+00,-1.18E+04,-2.05E-14
895,973,7.68E+00,-1.35E+04,4.07E-14
896,973,2.02E+01,-2.03E+04,4.07E-14
896,963,2.02E+01,-2.14E+04,3.67E-14
913,835,2.48E+01,7.66E+03,-0.316726
913,988,2.48E+01,4.63E+03,0.179111
914,988,-1.40E+00,-3.76E+03,0.178982
914,989,-1.40E+00,-5.53E+03,-0.0641987
915,989,-2.30E+00,-5.75E+03,-0.0642072
915,990,-2.30E+00,-4.15E+03,0.199442
916,990,2.28E+01,3.73E+03,0.199577
916,987,2.28E+01,6.54E+03,-0.333647
917,963,3.28E+01,-2.25E+04,1.89E-14
917,995,3.28E+01,-2.19E+04,2.66E-14
918,995,4.78E+01,-1.74E+04,2.67E-14
918,996,4.78E+01,-1.62E+04,9.96E-15
919,996,6.74E+01,-8.94E+03,9.89E-15
919,997,6.74E+01,-7.32E+03,1.66E-13
920,997,9.39E+01,4.48E+03,1.66E-13
920,987,9.39E+01,7.24E+03,-1.76E-13
937,859,8.23E+00,5.89E+03,0.0651044
937,1012,8.23E+00,4.36E+03,-0.0196894
938,1012,1.04E+01,-4.18E+03,-0.0195992
938,1013,1.04E+01,-5.18E+03,-0.0228704
939,1013,9.62E+00,-4.88E+03,-0.022868
939,1014,9.62E+00,-3.79E+03,-0.017831
940,1014,6.49E+00,5.08E+03,-0.0179058
940,1011,6.49E+00,6.62E+03,0.0531152
941,1019,8.05E+01,7.64E+03,0.062188
941,1020,8.05E+01,4.76E+03,-0.0599443
942,1020,5.74E+01,-7.74E+03,-0.0599104
942,1021,5.74E+01,-9.51E+03,-4.26E-03
943,1021,4.02E+01,-1.73E+04,-4.27E-03
943,1022,4.02E+01,-1.85E+04,-0.0104309
944,1022,2.67E+01,-2.34E+04,-0.0104334
944,1011,2.67E+01,-2.40E+04,-2.18E-03
945,867,2.28E+01,6.54E+03,0.333647
945,1027,2.28E+01,3.73E+03,-0.199577
946,1027,-2.30E+00,-4.15E+03,-0.199442
946,1028,-2.30E+00,-5.75E+03,0.0642072
947,1028,-1.40E+00,-5.53E+03,0.0641987
947,1029,-1.40E+00,-3.76E+03,-0.178982
948,1029,2.48E+01,4.63E+03,-0.179111
948,1019,2.48E+01,7.66E+03,0.316726
965,891,8.93E+00,1.12E+04,0.221284
965,1044,8.93E+00,7.50E+03,-0.138512
966,1044,1.15E+01,-8.26E+03,-0.138344
966,1045,1.15E+01,-9.63E+03,0.057443
967,1045,1.28E+01,-9.42E+03,0.0574469
967,1046,1.28E+01,-7.98E+03,-0.142029
968,1046,1.98E+01,8.42E+03,-0.142197
968,1043,1.98E+01,1.22E+04,0.223477
969,1011,1.49E+01,-2.28E+04,-0.0150865
969,1051,1.49E+01,-2.16E+04,-0.0110917
970,1051,2.73E+00,-1.42E+04,-0.0111004
970,1052,2.73E+00,-1.24E+04,6.22E-03
971,1052,-1.25E+01,-1.82E+03,6.23E-03
971,1053,-1.25E+01,543.504,-0.127716
972,1053,-3.38E+01,1.56E+04,-0.127794
972,1043,-3.38E+01,1.90E+04,0.284435
989,915,6.03E+00,6.28E+03,4.18E-14
989,1068,6.03E+00,4.67E+03,-1.93E-14
990,1068,1.44E+01,-4.49E+03,-1.93E-14
990,1069,1.44E+01,-5.57E+03,-1.32E-14
991,1069,1.37E+01,-5.17E+03,-1.31E-14
991,1070,1.37E+01,-3.97E+03,-1.53E-14
992,1070,3.93E+00,5.75E+03,-1.54E-14
992,1067,3.93E+00,7.41E+03,2.29E-14
993,1043,1.05E+02,2.09E+04,0.279542
993,1075,1.05E+02,1.77E+04,-0.126467
994,1075,8.56E+01,3.53E+03,-0.126395
994,1076,8.56E+01,1.36E+03,5.84E-03
995,1076,7.46E+01,-8.24E+03,5.83E-03
995,1077,7.46E+01,-9.84E+03,-0.0124144
996,1077,6.94E+01,-1.63E+04,-0.0124118
996,1067,6.94E+01,-1.72E+04,-8.24E-03
1013,939,8.93E+00,1.12E+04,-0.221284
1013,1092,8.93E+00,7.50E+03,0.138512
1014,1092,1.15E+01,-8.26E+03,0.138344
1014,1093,1.15E+01,-9.63E+03,-0.057443
1015,1093,1.28E+01,-9.42E+03,-0.0574469
1015,1094,1.28E+01,-7.98E+03,0.142029
1016,1094,1.98E+01,8.42E+03,0.142197
1016,1091,1.98E+01,1.22E+04,-0.223477
1017,1067,6.94E+01,-1.72E+04,-8.24E-03
1017,1099,6.94E+01,-1.63E+04,-0.0124118
1018,1099,7.46E+01,-9.84E+03,-0.0124144
1018,1100,7.46E+01,-8.24E+03,5.83E-03
1019,1100,8.56E+01,1.36E+03,5.84E-03
1019,1101,8.56E+01,3.53E+03,-0.126395
1020,1101,1.05E+02,1.77E+04,-0.126467
1020,1091,1.05E+02,2.09E+04,0.279542
1037,963,8.23E+00,5.89E+03,-0.0651044
1037,1116,8.23E+00,4.36E+03,0.0196894
1038,1116,1.04E+01,-4.18E+03,0.0195992
1038,1117,1.04E+01,-5.18E+03,0.0228704
1039,1117,9.62E+00,-4.88E+03,0.022868
1039,1118,9.62E+00,-3.79E+03,0.017831
1040,1118,6.49E+00,5.08E+03,0.0179058
1040,1115,6.49E+00,6.62E+03,-0.0531152
1041,1091,-3.38E+01,1.90E+04,0.284435
1041,1123,-3.38E+01,1.56E+04,-0.127794
1042,1123,-1.25E+01,543.504,-0.127716
1042,1124,-1.25E+01,-1.82E+03,6.23E-03
1043,1124,2.73E+00,-1.24E+04,6.22E-03
1043,1125,2.73E+00,-1.42E+04,-0.0111004
1044,1125,1.49E+01,-2.16E+04,-0.0110917
1044,1115,1.49E+01,-2.28E+04,-0.0150865
1061,987,2.28E+01,6.54E+03,-0.333647
1061,1140,2.28E+01,3.73E+03,0.199577
1062,1140,-2.30E+00,-4.15E+03,0.199442
1062,1141,-2.30E+00,-5.75E+03,-0.0642072
1063,1141,-1.40E+00,-5.53E+03,-0.0641987
1063,1142,-1.40E+00,-3.76E+03,0.178982
1064,1142,2.48E+01,4.63E+03,0.179111
1064,1139,2.48E+01,7.66E+03,-0.316726
1065,1115,2.67E+01,-2.40E+04,-2.18E-03
1065,1147,2.67E+01,-2.34E+04,-0.0104334
1066,1147,4.02E+01,-1.85E+04,-0.0104309
1066,1148,4.02E+01,-1.73E+04,-4.27E-03
1067,1148,5.74E+01,-9.51E+03,-4.26E-03
1067,1149,5.74E+01,-7.74E+03,-0.0599104
1068,1149,8.05E+01,4.76E+03,-0.0599443
1068,1139,8.05E+01,7.64E+03,0.062188
1085,1011,5.08E+00,5.28E+03,0.0660157
1085,1164,5.08E+00,3.32E+03,-0.0210067
1086,1164,5.07E+00,-8.34E+03,-0.0209135
1086,1165,5.07E+00,-9.86E+03,-0.0219767
1087,1165,2.88E+00,-1.36E+04,-0.0219679
1087,1166,2.88E+00,-1.32E+04,-0.0255318
1088,1166,-1.30E+00,-6.78E+03,-0.0256176
1088,1163,-1.30E+00,-5.15E+03,0.0655429
1089,1171,7.93E+01,5.26E+03,0.198125
1089,1172,7.93E+01,3.30E+03,-0.0166611
1090,1172,6.11E+01,-2.21E+03,-0.0166326
1090,1173,6.11E+01,-3.66E+03,0.0319077
1091,1173,4.66E+01,-7.67E+03,0.0319088
1091,1174,4.66E+01,-8.72E+03,8.94E-03
1092,1174,3.47E+01,-1.13E+04,8.95E-03
1092,1163,3.47E+01,-1.19E+04,-0.0272163
1093,1019,6.89E+00,7.10E+03,0.254875
1093,1179,6.89E+00,3.30E+03,-0.166898
1094,1179,-1.17E+01,-7.18E+03,-0.166794
1094,1180,-1.17E+01,-9.50E+03,0.0514318
1095,1180,-1.27E+01,-1.16E+04,0.0514283
1095,1181,-1.27E+01,-1.09E+04,-0.156136
1096,1181,6.77E+00,-3.44E+03,-0.156227
1096,1171,6.77E+00,-401.798,0.199156
1113,1043,-6.66E+00,1.15E+04,0.228364
1113,1196,-6.66E+00,7.02E+03,-0.139836
1114,1196,4.81E+00,-1.25E+04,-0.139654
1114,1197,4.81E+00,-1.42E+04,0.0445764
1115,1197,7.74E+00,-1.80E+04,0.0445459
1115,1198,7.74E+00,-1.76E+04,-0.0894933
1116,1198,2.10E+01,-5.76E+03,-0.0895819
1116,1195,2.10E+01,-2.28E+03,0.11359
1117,1163,2.48E+01,-1.16E+04,0.0383426
1117,1203,2.48E+01,-1.06E+04,-0.0357448
1118,1203,1.62E+01,-7.44E+03,-0.0357293
1118,1204,1.62E+01,-5.97E+03,6.42E-04
1119,1204,8.69E+00,-1.42E+03,6.58E-04
1119,1205,8.69E+00,459.982,-0.254448
1120,1205,1.81E+00,6.30E+03,-0.254506
1120,1195,1.81E+00,8.59E+03,0.463669
1137,1067,2.52E+00,5.90E+03,5.30E-14
1137,1220,2.52E+00,3.76E+03,1.01E-15
1138,1220,9.21E+00,-9.17E+03,1.11E-15
1138,1221,9.21E+00,-1.09E+04,7.50E-17
1139,1221,7.22E+00,-1.52E+04,8.58E-17
1139,1222,7.22E+00,-1.48E+04,4.56E-15
1140,1222,-1.66E+00,-7.68E+03,4.60E-15
1140,1219,-1.66E+00,-5.87E+03,1.20E-14
1141,1195,8.59E+01,9.62E+03,0.577092
1141,1227,8.59E+01,7.48E+03,-0.215137
1142,1227,7.06E+01,1.98E+03,-0.215055
1142,1228,7.06E+01,262.784,0.0146679
1143,1228,6.17E+01,-3.98E+03,0.014662
1143,1229,6.17E+01,-5.31E+03,-0.0330436
1144,1229,5.75E+01,-8.30E+03,-0.0330409
1144,1219,5.75E+01,-9.16E+03,-3.54E-03
1161,1091,-6.66E+00,1.15E+04,-0.228364
1161,1244,-6.66E+00,7.02E+03,0.139836
1162,1244,4.81E+00,-1.25E+04,0.139654
1162,1245,4.81E+00,-1.42E+04,-0.0445764
1163,1245,7.74E+00,-1.80E+04,-0.0445459
1163,1246,7.74E+00,-1.76E+04,0.0894933
1164,1246,2.10E+01,-5.76E+03,0.0895819
1164,1243,2.10E+01,-2.28E+03,-0.11359
1165,1219,5.75E+01,-9.16E+03,-3.54E-03
1165,1251,5.75E+01,-8.30E+03,-0.0330409
1166,1251,6.17E+01,-5.31E+03,-0.0330436
1166,1252,6.17E+01,-3.98E+03,0.014662
1167,1252,7.06E+01,262.784,0.0146679
1167,1253,7.06E+01,1.98E+03,-0.215055
1168,1253,8.59E+01,7.48E+03,-0.215137
1168,1243,8.59E+01,9.62E+03,0.577092
1185,1115,5.08E+00,5.28E+03,-0.0660157
1185,1268,5.08E+00,3.32E+03,0.0210067
1186,1268,5.07E+00,-8.34E+03,0.0209135
1186,1269,5.07E+00,-9.86E+03,0.0219767
1187,1269,2.88E+00,-1.36E+04,0.0219679
1187,1270,2.88E+00,-1.32E+04,0.0255318
1188,1270,-1.30E+00,-6.78E+03,0.0256176
1188,1267,-1.30E+00,-5.15E+03,-0.0655429
1189,1243,1.81E+00,8.59E+03,0.463669
1189,1275,1.81E+00,6.30E+03,-0.254506
1190,1275,8.69249,459.982,-0.254448
1190,1276,8.69E+00,-1.42E+03,6.58E-04
1191,1276,1.62E+01,-5.97E+03,6.42E-04
1191,1277,1.62E+01,-7.44E+03,-0.0357293
1192,1277,2.48E+01,-1.06E+04,-0.0357448
1192,1267,2.48E+01,-1.16E+04,0.0383426
1209,1139,6.89E+00,7.10E+03,-0.254875
1209,1292,6.89E+00,3.30E+03,0.166898
1210,1292,-1.17E+01,-7.18E+03,0.166794
1210,1293,-1.17E+01,-9.50E+03,-0.0514318
1211,1293,-1.27E+01,-1.16E+04,-0.0514283
1211,1294,-1.27E+01,-1.09E+04,0.156136
1212,1294,6.77E+00,-3.44E+03,0.156227
1212,1291,6.77E+00,-401.798,-0.199156
1213,1267,3.47E+01,-1.19E+04,-0.0272163
1213,1299,3.47E+01,-1.13E+04,8.95E-03
1214,1299,4.66E+01,-8.72E+03,8.94E-03
1214,1300,4.66E+01,-7.67E+03,0.0319088
1215,1300,6.11E+01,-3.66E+03,0.0319077
1215,1301,6.11E+01,-2.21E+03,-0.0166326
1216,1301,7.93E+01,3.30E+03,-0.0166611
1216,1291,7.93E+01,5.26E+03,0.198125
1233,1315,9.14E+01,6.10E+03,-0.25228
1233,1317,9.14E+01,4.05E+03,0.0577286
1234,1317,7.00E+01,-1.74E+03,0.0576846
1234,1318,7.00E+01,-3.27E+03,-0.0324746
1235,1318,5.38E+01,-7.52E+03,-0.0324756
1235,1319,5.38E+01,-8.64E+03,-4.29E-03
1236,1319,4.12E+01,-1.15E+04,-4.31E-03
1236,1316,4.12E+01,-1.21E+04,0.03008
1237,1316,-7.59E-01,-5.19E+03,0.0638039
1237,1325,-7.59E-01,-6.83E+03,-0.0238129
1238,1325,5.39E+00,-1.34E+04,-0.0237289
1238,1326,5.39E+00,-1.38E+04,-0.0210497
1239,1326,7.33E+00,-1.03E+04,-0.0210565
1239,1327,7.33E+00,-8.78E+03,-0.0191607
1240,1327,4.71E+00,2.73E+03,-0.0192458
1240,1324,4.71E+00,4.68E+03,0.0599598
1241,1332,9.28E+01,8.93E+03,-0.0339343
1241,1333,9.28E+01,5.94E+03,0.0337498
1242,1333,6.72E+01,-7.04E+03,0.0337312
1242,1334,6.72E+01,-8.88E+03,2.58E-03
1243,1334,4.86E+01,-1.70E+04,2.58E-03
1243,1335,4.86E+01,-1.83E+04,6.21E-03
1244,1335,3.48E+01,-2.35E+04,6.21E-03
1244,1324,3.48E+01,-2.42E+04,3.94E-05
1245,1315,14.2977,-199.382,0.252318
1245,1340,1.43E+01,-3.30E+03,-0.181632
1246,1340,-1.03E+01,-1.10E+04,-0.181518
1246,1341,-1.03E+01,-1.18E+04,0.0623675
1247,1341,-9.93E+00,-9.85E+03,0.0623724
1247,1342,-9.93E+00,-7.54E+03,-0.193515
1248,1342,1.23E+01,2.80E+03,-0.193639
1248,1332,1.23E+01,6.54E+03,0.30615
1265,1356,1.58E+01,7.45E+03,0.549772
1265,1357,1.58E+01,5.22E+03,-0.277914
1266,1357,1.89E+01,-437.585,-0.277843
1266,1358,1.89E+01,-2.26E+03,4.32E-03
1267,1358,2.42E+01,-6.65E+03,4.31E-03
1267,1359,2.42E+01,-8.07E+03,-0.0381467
1268,1359,3.15E+01,-1.11E+04,-0.0381612
1268,1316,3.15E+01,-1.20E+04,0.0337401
1269,1356,2.46E+01,-1.97E+03,0.0800036
1269,1365,2.46E+01,-5.54E+03,-0.0595704
1270,1365,9.38E+00,-1.77E+04,-0.0595044
1270,1366,9.38E+00,-1.82E+04,0.0274532
1271,1366,6.76E+00,-1.46E+04,0.0274734
1271,1367,6.76E+00,-1.30E+04,-0.0910138
1272,1367,-1.06E+00,6.13E+03,-0.0911347
1272,1364,-1.06E+00,1.06E+04,0.14981
1273,1324,2.39E+01,-2.33E+04,9.63E-03
1273,1372,2.39E+01,-2.23E+04,6.30E-03
1274,1372,1.40E+01,-1.53E+04,6.30E-03
1274,1373,1.40E+01,-1.35E+04,-4.25E-03
1275,1373,2.87E+00,-3.42E+03,-4.26E-03
1275,1374,2.87E+00,-1.15E+03,0.0770209
1276,1374,-1.17E+01,1.33E+04,0.0770681
1276,1364,-1.17E+01,1.65E+04,-0.172837
1293,1356,7.06E+01,9.06E+03,-0.629798
1293,1389,7.06E+01,6.91E+03,0.253389
1294,1389,5.75E+01,1.35E+03,0.253299
1294,1390,5.75E+01,-377.13,-0.0121532
1295,1390,5.01E+01,-4.67E+03,-0.0121459
1295,1391,5.01E+01,-6.00E+03,0.0368671
1296,1391,4.66E+01,-9.02E+03,0.0368638
1296,1388,4.66E+01,-9.89E+03,7.34E-03
1297,1388,-1.54E+00,-5.89E+03,3.50E-14
1297,1397,-1.54E+00,-7.71E+03,5.62E-15
1298,1397,5.93E+00,-1.50E+04,5.72E-15
1298,1398,5.93E+00,-1.55E+04,-7.77E-15
1299,1398,8.54E+00,-1.14E+04,-7.75E-15
1299,1399,8.54E+00,-9.70E+03,-1.01E-14
1300,1399,4.43E+00,3.04E+03,-1.02E-14
1300,1396,4.43E+00,5.16E+03,4.41E-14
1301,1364,7.73E+01,1.98E+04,-0.169543
1301,1404,7.73E+01,1.66E+04,0.0762344
1302,1404,6.45E+01,2.51E+03,0.0761914
1302,1405,64.4903,3.53E+02,-3.96E-03
1303,1405,5.72E+01,-9.18E+03,-3.95E-03
1303,1406,5.72E+01,-1.08E+04,7.31E-03
1304,1406,5.38E+01,-1.72E+04,7.31E-03
1304,1396,5.38E+01,-1.81E+04,4.84E-03
1321,1420,7.06E+01,9.06E+03,0.629798
1321,1421,7.06E+01,6.91E+03,-0.253389
1322,1421,5.75E+01,1.35E+03,-0.253299
1322,1422,57.5034,-377.13,0.0121532
1323,1422,5.01E+01,-4.67E+03,0.0121459
1323,1423,5.01E+01,-6.00E+03,-0.0368671
1324,1423,4.66E+01,-9.02E+03,-0.0368638
1324,1388,4.66E+01,-9.89E+03,-7.34E-03
1325,1420,2.46E+01,-1.97E+03,-0.0800036
1325,1429,2.46E+01,-5.54E+03,0.0595704
1326,1429,9.38E+00,-1.77E+04,0.0595044
1326,1430,9.38E+00,-1.82E+04,-0.0274532
1327,1430,6.76E+00,-1.46E+04,-0.0274734
1327,1431,6.76E+00,-1.30E+04,0.0910138
1328,1431,-1.06E+00,6.13E+03,0.0911347
1328,1428,-1.06E+00,1.06E+04,-0.14981
1329,1396,5.38E+01,-1.81E+04,4.84E-03
1329,1436,5.38E+01,-1.72E+04,7.31E-03
1330,1436,5.72E+01,-1.08E+04,7.31E-03
1330,1437,5.72E+01,-9.18E+03,-3.95E-03
1331,1437,6.45E+01,3.53E+02,-3.96E-03
1331,1438,6.45E+01,2.51E+03,0.0761914
1332,1438,7.73E+01,1.66E+04,0.0762344
1332,1428,7.73E+01,1.98E+04,-0.169543
1349,1420,1.58E+01,7.45E+03,-0.549772
1349,1453,1.58E+01,5.22E+03,0.277914
1350,1453,18.9336,-437.585,0.277843
1350,1454,1.89E+01,-2.26E+03,-4.32E-03
1351,1454,2.42E+01,-6.65E+03,-4.31E-03
1351,1455,2.42E+01,-8.07E+03,0.0381467
1352,1455,3.15E+01,-1.11E+04,0.0381612
1352,1452,3.15E+01,-1.20E+04,-0.0337401
1353,1452,-7.59E-01,-5.19E+03,-0.0638039
1353,1461,-7.59E-01,-6.83E+03,0.0238129
1354,1461,5.39E+00,-1.34E+04,0.0237289
1354,1462,5.39E+00,-1.38E+04,0.0210497
1355,1462,7.33E+00,-1.03E+04,0.0210565
1355,1463,7.33E+00,-8.78E+03,0.0191607
1356,1463,4.71E+00,2.73E+03,0.0192458
1356,1460,4.71E+00,4.68E+03,-0.0599598
1357,1428,-1.17E+01,1.65E+04,-0.172837
1357,1468,-1.17E+01,1.33E+04,0.0770681
1358,1468,2.86922,-1.15E+03,0.0770209
1358,1469,2.87E+00,-3.42E+03,-4.26E-03
1359,1469,1.40E+01,-1.35E+04,-4.25E-03
1359,1470,1.40E+01,-1.53E+04,6.30E-03
1360,1470,2.39E+01,-2.23E+04,6.30E-03
1360,1460,2.39E+01,-2.33E+04,9.63E-03
1377,1484,9.14E+01,6.10E+03,0.25228
1377,1485,9.14E+01,4.05E+03,-0.0577286
1378,1485,7.00E+01,-1.74E+03,-0.0576846
1378,1486,7.00E+01,-3.27E+03,0.0324746
1379,1486,5.38E+01,-7.52E+03,0.0324756
1379,1487,5.38E+01,-8.64E+03,4.29E-03
1380,1487,4.12E+01,-1.15E+04,4.31E-03
1380,1452,4.12E+01,-1.21E+04,-0.03008
1381,1484,14.2977,-199.382,-0.252318
1381,1493,1.43E+01,-3.30E+03,0.181632
1382,1493,-1.03E+01,-1.10E+04,0.181518
1382,1494,-1.03E+01,-1.18E+04,-0.0623675
1383,1494,-9.93E+00,-9.85E+03,-0.0623724
1383,1495,-9.93E+00,-7.54E+03,0.193515
1384,1495,1.23E+01,2.80E+03,0.193639
1384,1492,1.23E+01,6.54E+03,-0.30615
1385,1460,3.48E+01,-2.42E+04,3.94E-05
1385,1500,3.48E+01,-2.35E+04,6.21E-03
1386,1500,4.86E+01,-1.83E+04,6.21E-03
1386,1501,4.86E+01,-1.70E+04,2.58E-03
1387,1501,6.72E+01,-8.88E+03,2.58E-03
1387,1502,6.72E+01,-7.04E+03,0.0337312
