Element,Node,Fx[N],My[N.m],Mz[N.m]
128,146,2.66E+02,-2.28E+04,-0.024232
145,138,2.39E+02,-1.24E+04,0.320857
145,171,2.39E+02,-1.19E+04,0.150897
146,171,3.16E+02,-9.71E+03,0.151009
146,172,3.16E+02,-8.80E+03,-0.0882446
147,1.72E+02,4.27E+02,-5.27E+03,-0.0882534
147,1.73E+02,4.27E+02,-3.95E+03,1.4413
148,1.73E+02,5.91E+02,1.00E+03,1.4419
148,1.70E+02,5.91E+02,2.80E+03,-2.3668
149,170,2.69E+02,-1.68E+03,-2.36562
149,179,2.69E+02,-4.54E+03,1.28606
150,179,2.42E+01,-1.12E+04,1.28502
150,180,2.42E+01,-1.18E+04,-0.508608
151,180,6.21E-01,-9.36E+03,-0.508765
151,181,6.21E-01,-6.96E+03,1.62765
152,181,1.98E+02,3.95E+03,1.62876
152,178,1.98E+02,8.06E+03,-2.75856
153,146,3.30E+02,-2.48E+04,-0.0201357
153,186,3.30E+02,-2.43E+04,-0.025283
154,1.86E+02,4.28E+02,-2.01E+04,-0.0252996
154,1.87E+02,4.28E+02,-1.91E+04,-8.68E-03
155,1.87E+02,5.71E+02,-1.21E+04,-8.69E-03
155,1.88E+02,5.71E+02,-1.05E+04,-0.176972
156,1.88E+02,7.77E+02,644.626,-0.177089
156,1.78E+02,7.77E+02,3.25E+03,0.186447
173,10,4.85E+01,7.37E+03,0.334404
173,203,4.85E+01,5.82E+03,-0.100555
174,203,9.49E+01,-3.22E+03,-0.100089
174,204,9.49E+01,-4.36E+03,-0.122461
175,204,9.29E+01,-5.07E+03,-0.122454
175,205,9.29E+01,-4.14E+03,-0.0979359
176,205,4.42E+01,3.88E+03,-0.0983683
176,202,4.42E+01,5.34E+03,0.307176
177,2.10E+02,7.32E+02,3.11E+03,-2.55E-13
177,2.11E+02,7.32E+02,6.85E+02,1.92E-13
178,2.11E+02,5.37E+02,-9.61E+03,1.92E-13
178,2.12E+02,5.37E+02,-1.10E+04,6.78E-15
179,212,4.03E+02,-1.74E+04,7.00E-15
179,213,4.03E+02,-1.84E+04,1.58E-14
180,213,3.11E+02,-2.21E+04,1.57E-14
180,202,3.11E+02,-2.25E+04,5.45E-14
181,210,1.52E+02,6.24E+03,-2.51323
181,218,1.52E+02,3.31E+03,1.5509
182,218,-2.39E+01,-4.32E+03,1.54992
182,219,-2.39E+01,-5.76E+03,-0.589749
183,219,-2.71E+01,-5.23E+03,-0.589776
183,220,-2.71E+01,-3.41E+03,1.61652
184,220,1.45E+02,5.35E+03,1.61752
184,18,1.45E+02,8.69E+03,-2.57245
201,50,3.53E+01,1.36E+04,0.0985273
201,235,3.53E+01,9.60E+03,-0.0402349
202,235,6.92E+01,-7.53E+03,-0.0401201
202,236,6.92E+01,-9.07E+03,-0.0143264
203,236,7.26E+01,-9.73E+03,-0.0143267
203,237,7.26E+01,-8.41E+03,-0.034796
204,237,6.33E+01,7.04E+03,-0.0348908
204,234,6.33E+01,1.07E+04,0.079691
205,202,2.52E+02,-2.08E+04,3.99E-15
205,242,2.52E+02,-1.96E+04,3.53E-14
206,242,2.14E+02,-1.24E+04,3.58E-14
206,243,2.14E+02,-1.06E+04,-1.04E-15
207,243,188.803,-3.91E+02,-8.97E-16
207,244,1.89E+02,1.86E+03,2.41E-13
208,244,1.70E+02,1.64E+04,2.41E-13
208,234,1.70E+02,1.98E+04,-5.25E-13
225,82,7.08E+01,8.54E+03,1.20E-13
225,259,7.08E+01,6.82E+03,-1.86E-14
226,259,7.28E+01,-3.34E+03,-1.77E-14
226,260,7.28E+01,-4.62E+03,-3.56E-14
227,260,7.13E+01,-5.56E+03,-3.60E-14
227,261,7.13E+01,-4.56E+03,-3.24E-14
228,261,6.65E+01,4.13E+03,-3.25E-14
228,258,6.65E+01,5.68E+03,1.08E-13
229,234,1.83E+02,2.03E+04,-4.97E-13
229,266,1.83E+02,1.73E+04,2.37E-13
