Element,Node,Fx[N],Mx[N.m],My[N.m],Mz[N.m]
122,148,179.639,0.696032,-3.02E+04,0.263613
123,148,221.942,-1.33017,-2.10E+04,0.263698
123,149,221.942,-1.33017,-1.75E+04,0.218117
124,149,117.363,-1.12978,9.09E+03,0.219163
124,146,117.363,-1.12978,1.35E+04,-0.740247
125,114,401.145,0.581791,5.13E+04,1.64243
125,154,401.145,0.581791,4.30E+04,-0.750148
126,154,446.985,-0.671581,6.30E+03,-0.74966
126,155,446.985,-0.671581,518.186,0.0216173
127,155,511.776,0.569279,-2.56E+04,0.0216044
127,156,511.776,0.569279,-3.01E+04,-0.0684967
128,156,602.348,0.410671,-4.89E+04,-0.0684385
128,146,602.348,0.410671,-5.19E+04,-0.0592016
145,138,562.699,-2.01846,-2.91E+04,0.731662
145,171,562.699,-2.01846,-2.80E+04,0.342942
146,171,741.937,-4.35304,-2.29E+04,0.343207
146,172,741.937,-4.35304,-2.08E+04,-0.213996
147,172,1.00E+03,-2.79267,-1.25E+04,-0.214014
147,173,1.00E+03,-2.79267,-9.39E+03,3.35042
148,173,1.38E+03,-13.0369,2.23E+03,3.35182
148,170,1.38E+03,-13.0369,6.55E+03,-5.51677
149,170,626.509,5.13131,-3.78E+03,-5.51407
149,179,626.509,5.13131,-1.06E+04,2.99536
150,179,57.0657,1.96551,-2.60E+04,2.99294
150,180,57.0657,1.96551,-2.73E+04,-1.1675
151,180,2.89587,1.81186,-2.16E+04,-1.16784
151,181,2.89587,1.81186,-1.60E+04,3.68616
152,181,448.028,-0.85362,9.50E+03,3.68865
152,178,448.028,-0.85362,1.93E+04,-6.23622
153,146,745.551,0.288039,-5.64E+04,-0.0466297
153,186,745.551,0.288039,-5.52E+04,-0.0595033
154,186,965.943,-8.50E-03,-4.58E+04,-0.0595393
154,187,965.943,-8.50E-03,-4.33E+04,-0.0212802
155,187,1.29E+03,1.07246,-2.76E+04,-0.0212939
155,188,1.29E+03,1.07246,-2.40E+04,-0.410356
156,188,1.76E+03,0.0420394,1.30E+03,-0.410625
156,178,1.76E+03,0.0420394,7.24E+03,0.434617
173,10,111.444,-0.560012,1.67E+04,0.752817
173,203,111.444,-0.560012,1.32E+04,-0.227971
174,203,216.351,-0.804972,-6.85E+03,-0.226921
174,204,216.351,-0.804972,-9.36E+03,-0.276366
175,204,211.532,0.689651,-1.10E+04,-0.276351
175,205,211.532,0.689651,-8.95E+03,-0.220871
176,205,101.311,0.642588,8.81E+03,-0.221846
176,202,101.311,0.642588,1.20E+04,0.691682
177,210,1.65E+03,3.48E-12,6.94E+03,-5.87E-13
177,211,1.65E+03,3.48E-12,1.41E+03,4.39E-13
178,211,1.21E+03,1.36E-12,-2.19E+04,4.39E-13
178,212,1.21E+03,1.36E-12,-2.51E+04,1.63E-14
179,212,909.824,-6.81E-13,-3.95E+04,1.57E-14
179,213,909.824,-6.81E-13,-4.18E+04,3.61E-14
180,213,702.779,-1.16E-12,-5.02E+04,3.60E-14
180,202,702.779,-1.16E-12,-5.12E+04,1.26E-13
181,210,344.601,1.25812,1.50E+04,-5.67529
181,218,344.601,1.25812,7.95E+03,3.50283
182,218,-53.3285,0.588537,-9.99E+03,3.50061
182,219,-53.3285,0.588537,-1.33E+04,-1.33168
183,219,-61.1451,0.287011,-1.21E+04,-1.33174
183,220,-61.1451,0.287011,-7.87E+03,3.65127
184,220,327.034,-0.891389,1.27E+04,3.65354
184,18,327.034,-0.891389,2.07E+04,-5.8024
201,50,81.9778,0.272666,3.07E+04,0.204963
