displacement force strain
4.385 70.459 8003.384
4.468 70.694 8132.148
4.468 70.799 8264.932
4.468 70.828 8423.873
4.501 70.882 8576.114
4.534 70.948 8739.746
4.534 70.987 8892.654
4.534 71.047 9056.286
4.617 71.142 9234.675
4.617 71.157 9403.679
4.617 71.162 9565.301
4.617 71.261 9739.0
4.683 71.378 9909.341
4.7 71.32 10077.668
4.683 71.398 10256.724
4.733 70.78 10352.636
4.766 71.32 10461.271
4.766 71.488 10628.936
4.766 71.58 10780.497
4.849 71.6 10969.619
4.832 71.595 11143.985
4.849 71.665 11330.422
4.849 71.726 11510.154
4.915 71.738 11692.562
4.915 71.838 11888.395
4.915 71.768 12078.175
4.981 71.872 12287.417
4.981 71.911 12486.597
4.997 71.855 12686.444
4.997 72.001 12878.919
5.064 71.935 13084.809
5.064 72.028 13296.061
5.064 72.113 13514.685
5.13 72.142 13704.474
5.13 72.033 13880.854
5.13 72.208 14079.363
5.13 72.142 14287.933
5.213 72.262 14515.276
5.213 72.176 14709.761
5.213 72.281 14942.456
5.278 72.293 15159.084
5.278 72.293 15382.412
5.278 72.293 15593.645
5.278 72.32 15828.378
5.362 72.366 16043.664
5.362 72.454 16257.592
5.362 72.425 16498.349
5.378 72.442 16728.377
5.428 72.473 16929.562
5.428 72.544 17170.991
5.428 72.471 17399.015
5.511 72.559 17625.695
5.511 72.617 17840.962
5.511 72.561 18087.767
5.511 72.598 18319.133
5.576 72.578 18551.171
5.576 72.566 18777.852
5.576 72.722 19038.057
5.643 72.639 19247.966
5.659 72.639 19494.752
5.659 72.646 19730.823
5.659 72.729 19974.261
5.726 72.722 20202.966
5.726 72.729 20430.299
5.726 72.727 20681.118
5.758 72.716 20913.156
5.808 72.731 21168.009
5.808 72.806 21412.785
5.792 72.806 21665.609
5.875 72.804 21895.638
5.875 72.826 22149.195
5.875 72.897 22395.262
5.908 72.838 22619.933
5.957 72.911 22896.901
5.957 72.868 23129.691
5.957 72.895 23367.02
6.024 72.902 23639.959
6.024 73.004 23903.53
6.024 72.977 24138.235
6.056 72.907 24395.731
6.106 72.962 24680.198
6.106 73.598 25409.713
6.238 73.327 26348.803
6.321 73.593 27534.541
6.404 73.359 28805.838
6.47 73.481 30023.753
6.553 73.5 31279.164
6.619 73.495 32582.737
6.702 73.493 33838.315
6.768 73.566 35303.016
6.868 73.591 36767.583
7.0 73.595 38312.823
7.082 73.51 39852.583
7.149 73.554 41606.98
7.231 73.527 43575.967
7.298 73.539 45593.217
7.38 73.561 48173.859
7.496 73.423 50690.099
7.513 73.461 53898.449
7.629 73.204 57106.752
7.744 73.172 60610.203
7.827 72.914 64537.376
7.91 72.751 68647.268
7.976 72.563 73244.979
8.042 72.278 77906.263
8.125 71.821 82590.023
8.274 71.595 88126.753
8.307 71.342 92815.752
8.423 71.118 98298.861
8.489 70.592 103470.727
8.572 70.334 108948.407
8.638 69.962 114211.513
8.721 69.653 119651.622
8.787 69.042 91168.719
8.886 68.762 90755.615
8.936 68.341 90873.665
9.068 68.03 91243.815
9.168 67.531 91565.727
9.234 67.19 92021.736
9.317 66.581 92526.031
9.383 66.221 93024.994
9.466 65.713 93523.956
9.548 65.177 94038.966
9.68 64.457 94462.832
9.697 64.126 94822.268
9.83 63.279 95144.179
9.912 62.464 95487.567
9.995 61.476 95793.335
10.061 60.85 96072.34
10.144 59.792 96329.869
10.21 58.782 96560.684
10.326 57.531 96775.164
10.359 56.611 96909.262
10.492 55.03 96995.121
10.591 53.032 96995.121
10.657 -0.301 90245.795
10.74 -0.293 89333.872
10.806 -0.297 88926.15
10.889 -0.286 88631.001
10.955 -0.272 88427.14
11.087 -0.269 88266.184
11.104 -0.266 88148.134
11.236 -0.26 88019.417
11.335 -0.259 87933.368
11.402 -0.253 87831.604
11.484 -0.247 87745.793
11.55 -0.235 87676.077
11.617 -0.258 87611.457
11.733 -0.227 87552.694
11.848 -0.253 87504.407
11.898 -0.245 87461.454
12.014 -0.242 87413.167
12.08 -0.239 87380.976
12.163 -0.233 87332.689
12.229 -0.216 87290.022
12.229 -0.215 87257.593
12.246 -0.218 87236.164
12.229 -0.22 87193.21
